tax_id	GeneID	GO_ID	Evidence	Qualifier	GO_termPubMed	Category
4536	3276630	GO:0009536	IC	-	plastid	12520024	Component
39946	3950675	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950679	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950679	GO:0016020	RCA	-	membrane	-	Component
39946	3950679	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	3950680	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950681	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950681	GO:0016020	RCA	-	membrane	-	Component
39946	3950682	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950683	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950683	GO:0005739	RCA	-	mitochondrion	-	Component
39946	3950684	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950684	GO:0009536	IC	-	plastid	12520024	Component
39946	3950685	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950685	GO:0009536	IC	-	plastid	12520024	Component
39946	3950686	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950686	GO:0016020	RCA	-	membrane	-	Component
39946	3950686	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	3950687	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950688	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950688	GO:0005739	RCA	-	mitochondrion	-	Component
39946	3950689	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950689	GO:0016020	RCA	-	membrane	-	Component
39946	3950690	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950691	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950691	GO:0016020	RCA	-	membrane	-	Component
39946	3950692	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950692	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	3950693	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950693	GO:0016020	RCA	-	membrane	-	Component
39946	3950694	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950695	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950696	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950696	GO:0005739	RCA	-	mitochondrion	-	Component
39946	3950704	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950704	GO:0016020	RCA	-	membrane	-	Component
39946	3950704	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	3950714	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950715	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950715	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	3950716	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950717	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950718	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950718	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	3950719	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950720	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950721	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950722	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950722	GO:0009536	IC	-	plastid	12520024	Component
39946	3950733	GO:0009536	IC	-	plastid	12520024	Component
39946	3950734	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950734	GO:0016020	RCA	-	membrane	-	Component
39946	3950735	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950735	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	3950736	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950737	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950738	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950739	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950740	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950741	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950742	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950742	GO:0005739	RCA	-	mitochondrion	-	Component
39946	3950742	GO:0009536	IC	-	plastid	12520024	Component
39946	3950743	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950744	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950744	GO:0016020	RCA	-	membrane	-	Component
39946	3950745	GO:0009536	IC	-	plastid	12520024	Component
39946	3950746	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950747	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950748	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950748	GO:0016020	RCA	-	membrane	-	Component
39946	3950749	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950750	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950751	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950751	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	3950761	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950761	GO:0016020	RCA	-	membrane	-	Component
39946	3950762	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950762	GO:0016020	RCA	-	membrane	-	Component
39946	3950763	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950764	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950764	GO:0016020	RCA	-	membrane	-	Component
39946	3950765	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	3950765	GO:0016020	RCA	-	membrane	-	Component
39946	3950765	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	3950766	GO:0009536	IC	-	plastid	12520024	Component
39946	4126865	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	4126865	GO:0005739	RCA	-	mitochondrion	-	Component
39946	4126866	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	4126867	GO:0009536	IC	-	plastid	12520024	Component
